pid,display_pid,alias,image,floral_language,origin,production,category,blooming,color,size,soil,sunlight,watering,fertilization,pruning,max_light_mmol,min_light_mmol,max_light_lux,min_light_lux,max_temp,min_temp,max_env_humid,min_env_humid,max_soil_moist,min_soil_moist,max_soil_ec,min_soil_ec
mandevilla spp.,Mandevilla spp.,mandevilla spp.,http://pkb.resource.huahuacaocao.com/bWFuZGV2aWxsYSBzcHAuLmpwZw==?imageView2/1/w/%d/h/%d,,Spain,China,"Apocynaceae, Mandevilla",Flowering period July-August,Flower color pink,"Diameter â¥ 20 cm, height â¥ 25 cm",Soil with loose texture or soil with specific nutrients,"Like sunshine, resistant to half shade","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",4500,2500,30000,3700,35,10,80,30,60,15,2000,350
mangifera indica,Mangifera indica,mangifera indica,http://pkb.resource.huahuacaocao.com/bWFuZ2lmZXJhIGluZGljYS5qcGc=?imageView2/1/w/%d/h/%d,,India,Southern China,"Anacardiaceae, Amygdalus","Flowering period November-March, fruiting period April-August","Flower color yellow or light yellow, fruit yellow","Diameter â¥ 15 cm, height â¥ 25 cm",Slightly acidic soil with loose texture or soil with specific nutrients,"Like sunshine, high quality fruits in sunny places","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",5000,3500,50000,4000,35,5,80,30,60,15,2000,350
mansoa alliacea,Mansoa alliacea,mansoa alliacea,http://pkb.resource.huahuacaocao.com/bWFuc29hIGFsbGlhY2VhLmpwZw==?imageView2/1/w/%d/h/%d,,South America,South China,"Bignoniaceae, Mansoa",Flowering period August-December,Flower color rose red,Diameterâ¥10cmï¼Heightâ¥10cm,"Loose, fertile, and well-drained loam soil","Enjoy adequate sunlight, resistant to half shade",Water thoroughly when soil surface is dry,"Dilute fertilizers following instructions, apply once monthly in spring and autumn","Remove flower stem, diseased and rotten leaves timely",7800,3600,65000,2900,35,8,80,30,60,15,1500,350
maranta arundinacea,Maranta arundinacea,maranta arundinacea,http://pkb.resource.huahuacaocao.com/bWFyYW50YSBhcnVuZGluYWNlYS5qcGc=?imageView2/1/w/%d/h/%d,"Maranta arundinacea 
Floriography: beautiful, proud, classical
Native to tropical Central and South America, and the West Indies, Maranta arundinacea has beautiful leaves and graceful plant shape. Long oval, thinly leathery leaves with wavy edges, often marked by stripes of various colors.
Maranta arundinacea resists shades, suitable for a bright scattered light. Flowers in winter with white flowers.",Brazil,China,"Marantaceae, Calathea","Foliage plants, sometimes flowers in winter, white flowers",Leaf color yellow mixed with green,"Diameter â¥ 10 cm, height â¥ 15 cm",Peat mixed with coarse sand soil,"Like half shade, can take 4-5h moderate light","Keep soil moist, water thoroughly when soil is dry, reduce water in winter","Apply low concentration fertilizers, apply 1-2 times monthly in spring and summer",Remove dead and yellowish leaves timely,3500,1700,20000,800,32,12,85,30,65,15,1000,350
maranta arundinacea l. var. variegata,Maranta arundinacea L. var. variegata,maranta,http://pkb.resource.huahuacaocao.com/bWFyYW50YSBhcnVuZGluYWNlYSBsLiB2YXIuIHZhcmllZ2F0YS5qcGc=?imageView2/1/w/%d/h/%d,"Maranta arundinacea L. var. variegata 
Floriography: beautiful, proud, classical
Native to tropical Central and South America, and the West Indies, Maranta arundinacea L. var. variegata has beautiful leaves and graceful plant shape. Long oval, thinly leathery leaves with wavy edges, often marked by stripes of various colors.
Maranta arundinacea L. var. variegata resists shades, suitable for a bright scattered light. Flowers in winter with white flowers.",Brazil,China,"Marantaceae, Calathea","Foliage plants, sometimes flowers, white flowers","Leaf color a mixture of dark green and pale green, lower surface fuchsia","Diameter â¥ 10 cm, height â¥ 10 cm",Peat or soil with specific nutrients,"Like half shade, can take 4-5h moderate light","Keep soil moist, water thoroughly when soil is dry, reduce water in winter","Apply low concentration fertilizers, apply 1-2 times monthly in spring and summer",Remove dead and yellowish leaves timely,3500,1700,20000,800,32,12,85,30,65,15,1000,350
maranta leuconeura,Maranta leuconeura,maranta arundinacea,http://pkb.resource.huahuacaocao.com/bWFyYW50YSBsZXVjb25ldXJhLmpwZw==?imageView2/1/w/%d/h/%d,"Maranta leuconeura 
Floriography: beautiful, proud, classical
Native to tropical Central and South America, and the West Indies, Maranta leuconeura has beautiful leaves and graceful plant shape. Long oval, thinly leathery leaves with wavy edges, often marked by stripes of various colors.
Maranta leuconeura resists shades, suitable for a bright scattered light. Flowers in winter with white flowers.",Brazil,China,"Marantaceae, Calathea","Foliage plants, sometimes flowers, white flowers","Leaf color pale green, with brown patches","Diameter â¥ 10 cm, height â¥ 10 cm",Peat or soil with specific nutrients,"Like half shade, can take 4-5h moderate light","Keep soil moist, water thoroughly when soil is dry, reduce water in winter","Apply low concentration fertilizers, apply 1-2 times monthly in spring and summer",Remove dead and yellowish leaves timely,3500,1700,20000,800,32,12,85,30,65,15,1000,350
marrubium vulgare,Marrubium vulgare,marrubium vulgare,http://pkb.resource.huahuacaocao.com/bWFycnViaXVtIHZ1bGdhcmUuanBn?imageView2/1/w/%d/h/%d,,Europe,Xinjiang,"Labiatae, Marrubium",Flowering period June-August,Flower color white,"Diameter â¥ 10 cm, height 15-18 cm",Soil with loose texture or soil with specific nutrients,"Like sunshine, resistant to half shade","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",4500,2500,30000,3500,32,5,85,30,60,15,2000,350
mascagnia macroptera,Mascagnia macroptera,mascagnia macroptera,http://pkb.resource.huahuacaocao.com/bWFzY2FnbmlhIG1hY3JvcHRlcmEuanBn?imageView2/1/w/%d/h/%d,,Guangxi,Southern China,"Passifloraceae, Passiflora","Flowering period April-May, fruiting period June-July","Flower color yellow green, fruit color dark brown","Diameter â¥ 20 cm, height â¥ 25 cm",Soil with loose texture or soil with specific nutrients,"Like sunshine, resistant to half shade","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",4500,2500,30000,3700,35,8,80,30,60,15,2000,350
matricaria recutita,Matricaria recutita,matricaria recutita,http://pkb.resource.huahuacaocao.com/bWF0cmljYXJpYSByZWN1dGl0YS5qcGc=?imageView2/1/w/%d/h/%d,"Matricaria recutita 
Floriography: elegant, plain, pure
Matricaria recutitais very beautiful. Under sunlight, like dazzling little stars in clusters or clumps.Matricaria recutita resist cold weather, even frost, therefore loved by the public in the fall season, and are often well loved by the ancient literati. 
Matricaria recutita like sunny days, mainly blossom in September-November for 3-4 weeks.",China,China,"Compositae, Matricaria",Flowering period May-July,"Flower color white, yellow","Diameter â¥ 10 cm, height 15-18 cm",Peat or soil with specific nutrients,"Likes sunshine, avoid strong direct light","Keep soil moist, water and drain timely","Dilute fertilizers following instructions, apply 1-2 times monthly","After flowering remove the withered flowers, the part on the ground will wither in winter, the plant germinates again in spring",6400,3200,55000,3000,32,8,80,15,60,20,2000,350
matteuccia orientalis,Matteuccia orientalis,matteuccia orientalis,http://pkb.resource.huahuacaocao.com/bWF0dGV1Y2NpYSBvcmllbnRhbGlzLmpwZw==?imageView2/1/w/%d/h/%d,,China,"China, Mainly in north","Onocleaceae, Matteuccia","Fern plants, no flowering",Leaf color tender green,"Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Strong resistant to shade, put in places with scattered light","Water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead, rotten, diseased leaves timely",1400,800,18000,650,32,10,90,40,60,15,1500,350
matteuccia struthiopteris,Matteuccia struthiopteris,matteuccia struthiopteris,http://pkb.resource.huahuacaocao.com/bWF0dGV1Y2NpYSBzdHJ1dGhpb3B0ZXJpcy5qcGc=?imageView2/1/w/%d/h/%d,,China,"China, Mainly in north","Onocleaceae, Matteuccia","Fern plants, no flowering",Leaf color tender green,"Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Strong resistant to shade, put in places with scattered light","Water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead, rotten, diseased leaves timely",1400,800,18000,650,32,10,90,40,60,15,1500,350
matthiola cinderella 'antique',Matthiola Cinderella 'Antique',matthiola cinderella antique,http://pkb.resource.huahuacaocao.com/bWF0dGhpb2xhIGNpbmRlcmVsbGEgJ2FudGlxdWUnLmpwZw==?imageView2/1/w/%d/h/%d,,Europe,Southern China,"Cruciferae, Matthiola","Flowering period April-May, viewing period 3-4 weeks",Flower color pink,"Diameter â¥ 10 cm, height â¥ 10 cm","Likes slightly alkaline soil, may use peat adding a small amount of lime or baking soda,","Likes sunshine, shade properly under summer strong light",Water thoroughly when soil is dry,"Dilute fertilizers following instructions,  apply 1-2 times monthly in spring",Remove dead and yellowish leaves and withered flowers,6000,4000,60000,3000,32,8,80,30,60,15,2000,350
matthiola cinderella 'appleblossom',Matthiola Cinderella 'Appleblossom',matthiola cinderella appleblossom,http://pkb.resource.huahuacaocao.com/bWF0dGhpb2xhIGNpbmRlcmVsbGEgJ2FwcGxlYmxvc3NvbScuanBn?imageView2/1/w/%d/h/%d,,Europe,Southern China,"Cruciferae, Matthiola","Flowering period April-May, viewing period 3-4 weeks",Flower color pink,"Diameter â¥ 10 cm, height â¥ 10 cm","Likes slightly alkaline soil, may use peat adding a small amount of lime or baking soda,","Likes sunshine, shade properly under summer strong light",Water thoroughly when soil is dry,"Dilute fertilizers following instructions,  apply 1-2 times monthly in spring",Remove dead and yellowish leaves and withered flowers,6000,4000,60000,3000,32,8,80,30,60,15,2000,350
matthiola cinderella 'champagne',Matthiola Cinderella 'Champagne',matthiola cinderella champagne,http://pkb.resource.huahuacaocao.com/bWF0dGhpb2xhIGNpbmRlcmVsbGEgJ2NoYW1wYWduZScuanBn?imageView2/1/w/%d/h/%d,,Europe,Southern China,"Cruciferae, Matthiola","Flowering period April-May, viewing period 3-4 weeks",Flower color Champagne,"Diameter â¥ 10 cm, height â¥ 10 cm","Likes slightly alkaline soil, may use peat adding a small amount of lime or baking soda,","Likes sunshine, shade properly under summer strong light",Water thoroughly when soil is dry,"Dilute fertilizers following instructions,  apply 1-2 times monthly in spring",Remove dead and yellowish leaves and withered flowers,6000,4000,60000,3000,32,8,80,30,60,15,2000,350
matthiola cinderella 'hot pink',Matthiola Cinderella 'Hot Pink',matthiola cinderella hot pink,http://pkb.resource.huahuacaocao.com/bWF0dGhpb2xhIGNpbmRlcmVsbGEgJ2hvdCBwaW5rJy5qcGc=?imageView2/1/w/%d/h/%d,,Europe,Southern China,"Cruciferae, Matthiola","Flowering period April-May, viewing period 3-4 weeks",Flower color pink,"Diameter â¥ 10 cm, height â¥ 10 cm","Likes slightly alkaline soil, may use peat adding a small amount of lime or baking soda,","Likes sunshine, shade properly under summer strong light",Water thoroughly when soil is dry,"Dilute fertilizers following instructions,  apply 1-2 times monthly in spring",Remove dead and yellowish leaves and withered flowers,6000,4000,60000,3000,32,8,80,30,60,15,2000,350
matthiola cinderella 'lavender',Matthiola Cinderella 'Lavender',matthiola cinderella lavender,http://pkb.resource.huahuacaocao.com/bWF0dGhpb2xhIGNpbmRlcmVsbGEgJ2xhdmVuZGVyJy5qcGc=?imageView2/1/w/%d/h/%d,,Europe,Southern China,"Cruciferae, Matthiola","Flowering period April-May, viewing period 3-4 weeks",Flower color purple,"Diameter â¥ 10 cm, height â¥ 10 cm","Likes slightly alkaline soil, may use peat adding a small amount of lime or baking soda,","Likes sunshine, shade properly under summer strong light",Water thoroughly when soil is dry,"Dilute fertilizers following instructions,  apply 1-2 times monthly in spring",Remove dead and yellowish leaves and withered flowers,6000,4000,60000,3000,32,8,80,30,60,15,2000,350
matthiola cinderella 'pink',Matthiola Cinderella 'pink',matthiola cinderella pink,http://pkb.resource.huahuacaocao.com/bWF0dGhpb2xhIGNpbmRlcmVsbGEgJ3BpbmsnLmpwZw==?imageView2/1/w/%d/h/%d,,Europe,Southern China,"Cruciferae, Matthiola","Flowering period April-May, viewing period 3-4 weeks",Flower color pink,"Diameter â¥ 10 cm, height â¥ 10 cm","Likes slightly alkaline soil, may use peat adding a small amount of lime or baking soda,","Likes sunshine, shade properly under summer strong light",Water thoroughly when soil is dry,"Dilute fertilizers following instructions,  apply 1-2 times monthly in spring",Remove dead and yellowish leaves and withered flowers,6000,4000,60000,3000,32,8,80,30,60,15,2000,350
matthiola cinderella 'purple',Matthiola Cinderella 'purple',matthiola cinderella purple,http://pkb.resource.huahuacaocao.com/bWF0dGhpb2xhIGNpbmRlcmVsbGEgJ3B1cnBsZScuanBn?imageView2/1/w/%d/h/%d,,Europe,Southern China,"Cruciferae, Matthiola","Flowering period April-May, viewing period 3-4 weeks",Flower color purple,"Diameter â¥ 10 cm, height â¥ 10 cm","Likes slightly alkaline soil, may use peat adding a small amount of lime or baking soda,","Likes sunshine, shade properly under summer strong light",Water thoroughly when soil is dry,"Dilute fertilizers following instructions,  apply 1-2 times monthly in spring",Remove dead and yellowish leaves and withered flowers,6000,4000,60000,3000,32,8,80,30,60,15,2000,350
matthiola cinderella 'red',Matthiola Cinderella 'red',matthiola cinderella red,http://pkb.resource.huahuacaocao.com/bWF0dGhpb2xhIGNpbmRlcmVsbGEgJ3JlZCcuanBn?imageView2/1/w/%d/h/%d,,Europe,Southern China,"Cruciferae, Matthiola","Flowering period April-May, viewing period 3-4 weeks",Flower color red,"Diameter â¥ 10 cm, height â¥ 10 cm","Likes slightly alkaline soil, may use peat adding a small amount of lime or baking soda,","Likes sunshine, shade properly under summer strong light",Water thoroughly when soil is dry,"Dilute fertilizers following instructions,  apply 1-2 times monthly in spring",Remove dead and yellowish leaves and withered flowers,6000,4000,60000,3000,32,8,80,30,60,15,2000,350
matthiola cinderella 'white',Matthiola Cinderella 'white',matthiola cinderella white,http://pkb.resource.huahuacaocao.com/bWF0dGhpb2xhIGNpbmRlcmVsbGEgJ3doaXRlJy5qcGc=?imageView2/1/w/%d/h/%d,,Europe,Southern China,"Cruciferae, Matthiola","Flowering period April-May, viewing period 3-4 weeks",Flower color white,"Diameter â¥ 10 cm, height â¥ 10 cm","Likes slightly alkaline soil, may use peat adding a small amount of lime or baking soda,","Likes sunshine, shade properly under summer strong light",Water thoroughly when soil is dry,"Dilute fertilizers following instructions,  apply 1-2 times monthly in spring",Remove dead and yellowish leaves and withered flowers,6000,4000,60000,3000,32,8,80,30,60,15,2000,350
matthiola cinderella 'yellow',Matthiola Cinderella 'yellow',matthiola cinderella yellow,http://pkb.resource.huahuacaocao.com/bWF0dGhpb2xhIGNpbmRlcmVsbGEgJ3llbGxvdycuanBn?imageView2/1/w/%d/h/%d,,Europe,Southern China,"Cruciferae, Matthiola","Flowering period April-May, viewing period 3-4 weeks",Flower color yellow,"Diameter â¥ 10 cm, height â¥ 10 cm","Likes slightly alkaline soil, may use peat adding a small amount of lime or baking soda,","Likes sunshine, shade properly under summer strong light",Water thoroughly when soil is dry,"Dilute fertilizers following instructions,  apply 1-2 times monthly in spring",Remove dead and yellowish leaves and withered flowers,6000,4000,60000,3000,32,8,80,30,60,15,2000,350
matthiola cinderella blue,Matthiola Cinderella blue,matthiola cinderella blue,http://pkb.resource.huahuacaocao.com/bWF0dGhpb2xhIGNpbmRlcmVsbGEgYmx1ZS5qcGc=?imageView2/1/w/%d/h/%d,,Europe,Southern China,"Cruciferae, Matthiola","Flowering period April-May, viewing period 3-4 weeks",Flower color blue,"Diameter â¥ 10 cm, height â¥ 10 cm","Likes slightly alkaline soil, may use peat adding a small amount of lime or baking soda,","Likes sunshine, shade properly under summer strong light",Water thoroughly when soil is dry,"Dilute fertilizers following instructions,  apply 1-2 times monthly in spring",Remove dead and yellowish leaves and withered flowers,6000,4000,60000,3000,32,8,80,30,60,15,2000,350
matthiola incana,Matthiola incana,matthiola incana,http://pkb.resource.huahuacaocao.com/bWF0dGhpb2xhIGluY2FuYS5qcGc=?imageView2/1/w/%d/h/%d,,Europe,Southern China,"Cruciferae, Matthiola","Flowering period April-May, viewing period 3-4 weeks","Flower color dark purple, light purple, white","Diameter â¥ 10 cm, height â¥ 10 cm","Likes slightly alkaline soil, may use peat adding a small amount of lime or baking soda,","Likes sunshine, shade properly under summer strong light",Water thoroughly when soil is dry,"Dilute fertilizers following instructions,  apply 1-2 times monthly in spring",Remove dead and yellowish leaves and withered flowers,6000,4000,60000,3000,32,8,80,30,60,15,2000,350
maya white,Maya white,maya white,http://pkb.resource.huahuacaocao.com/bWF5YSB3aGl0ZS5qcGc=?imageView2/1/w/%d/h/%d,"Chimonanthus praecox 
Floriography: pride, strong and faithful 
Chimonanthus praecox blossom proudly in the snow, with orchid, bamboo, and chrysanthemum together referred to as the ""four gentlemen"" in the flower, has been named as the city flower of Wuhan. 
Chimonanthus praecox plant strong firm and pretty. Leaf blade elliptic, flowers are delicate and cabinet. Color is various, petals of 5 single and double. The fragrance of plum blossom is from bitter cold, a symbol of the Chinese nation strong spiritual quality. 
Chimonanthus praecox blossom like the sunshine, summer noon light should be covered. Because of the north-south differences, flowering in December to April of next year, with the ornamental period 1 to 2 weeks.",China,China,"Calycanthaceae, Chimonanthus","Flowering period November-March, viewing period 1-2 weeks",Flower color white,"Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Likes sunshine, shade properly under summer strong light","Moderately resistant to drought, water thoroughly when soil is dry","Dilute fertilizers following instructions, top-dressing before and after flowering and defoliation","Remove withered flowers, old, diseased, and dead leaves timely",6000,3000,50000,3000,32,5,80,30,60,15,2000,350
medicago sativa,Medicago sativa,medicago sativa,http://pkb.resource.huahuacaocao.com/bWVkaWNhZ28gc2F0aXZhLmpwZw==?imageView2/1/w/%d/h/%d,,Europe and Asia,China,"Fabaceae, Medicago",Flowering period5-7æï¼fruit period6-8æ,Flower color purple,Diameterâ¥10cm,"Loose, fertile, and well-drained loam soil","Enjoy sunlight, planted in sufficient sunlight",Water thoroughly when soil surface is dry,"Dilute fertilizers following instructions, apply once monthly in spring and autumn","Remove flower stem, diseased and rotten leaves timely",6600,3000,50000,2500,35,5,80,30,60,15,2000,350
medinilla magnifica,Medinilla magnifica,medinilla magnifica,http://pkb.resource.huahuacaocao.com/bWVkaW5pbGxhIG1hZ25pZmljYS5qcGc=?imageView2/1/w/%d/h/%d,,"Tropical forests in Philippines, Malaysia, and Indonesia",Southern China,"Melastomataceae, Medinilla",Flowering period April-May,Flower color pink,"Diameter â¥ 15 cm, height â¥ 25 cm",Peat or soil with specific amount of humus,"Likes half shade, grows in places with scattered light","Likes wet environments, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead, rotten, diseased leaves timely",5800,2000,35000,2000,32,12,80,30,60,15,2000,350
melaleuca alternifolia,Melaleuca alternifolia,melaleuca alternifolia,http://pkb.resource.huahuacaocao.com/bWVsYWxldWNhIGFsdGVybmlmb2xpYS5qcGc=?imageView2/1/w/%d/h/%d,,Austrilia,South China,"Myrtaceae, Melaleuca",Flowering period June-August,Flower color white,Diameterâ¥15cmï¼Heightâ¥25cm,Peat or soil with specific nutrients,"Enjoy sunlight, planted in sufficient sunlight","Water thoroughly when soil surface is dry, avoid saturated water","Dilute fertilizers following instructions, apply once monthly in spring and autumn","Remove flower stem, diseased and rotten leaves timely",6200,3000,65000,3000,40,5,80,30,60,15,2000,100
melia azedarach,Melia azedarach,melia azedarach,http://pkb.resource.huahuacaocao.com/bWVsaWEgYXplZGFyYWNoLmpwZw==?imageView2/1/w/%d/h/%d,,Asia,China,"Meliaceae, Melia","Flowering period April-May, fruiting period October-December","Flower color purple, fruit yellow","Diameter â¥ 20 cm, height â¥ 25 cm",Soil with loose texture or soil with specific nutrients,"Likes sunshine, put in sunny places, avoid strong sunlight in summer at noon","Water thoroughly after soil surface dries, avoid saturated water","Need more fertilization, dilute fertilizers following instructions, apply 2-3 times monthly","Remove aged tissues, dead and pest branches timely",6000,4000,60000,3500,35,5,80,30,60,15,2000,350
melissa officinalis,Melissa officinalis,melissa officinalis,http://pkb.resource.huahuacaocao.com/bWVsaXNzYSBvZmZpY2luYWxpcy5qcGc=?imageView2/1/w/%d/h/%d,,Former Soviet Union,China,"Labiatae, Melissa",Flowering period June-August,"Flower color cream white, light blue","Diameter â¥ 10 cm, height 15-18 cm",Soil with loose texture or soil with specific nutrients,"Like sunshine, resistant to half shade","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly",Remove dead and pest-infested branches frequently,4500,2500,30000,3700,35,5,80,30,60,15,2000,350
melon exalto f1,Melon Exalto F1,cucumis melo,http://pkb.resource.huahuacaocao.com/bWVsb24gZXhhbHRvIGYxLmpwZw==?imageView2/1/w/%d/h/%d,,"Africa, India",China,"Cucurbitaceae, Cucumis",Flowering and fruiting period in summer,"Flower color yellow, fruit color yellow, white, green, mixed with color stripes","Diameter â¥ 10 cm, can climb",Soil with loose texture or soil with specific nutrients,"Like sunshine, high quality fruits in sunny places","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead, rotten, diseased leaves timely",10000,4200,85000,4000,35,5,80,30,60,15,2000,350
melon summer dream f1,Melon Summer Dream F1,cucumis melo,http://pkb.resource.huahuacaocao.com/bWVsb24gc3VtbWVyIGRyZWFtIGYxLmpwZw==?imageView2/1/w/%d/h/%d,,"Africa, India",China,"Cucurbitaceae, Cucumis",Flowering and fruiting period in summer,"Flower color yellow, fruit color yellow, white, green, mixed with color stripes","Diameter â¥ 10 cm, can climb",Soil with loose texture or soil with specific nutrients,"Like sunshine, high quality fruits in sunny places","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead, rotten, diseased leaves timely",10000,4200,85000,4000,35,5,80,30,60,15,2000,350
mentha aquatica,Mentha aquatica,mentha aquatica,http://pkb.resource.huahuacaocao.com/bWVudGhhIGFxdWF0aWNhLmpwZw==?imageView2/1/w/%d/h/%d,"Mentha aquatica
Floriography: virtuous, peaceful, optimistic
Is a famous spice plant for cooking and medicine. Has oval leaves in dark green, also a strong fragrant scent, used for spice in cooking, tea, or medicine with effects of calming and refreshing. 
Is a long-day plant, likes sunshine, shade properly under summer strong sunlight, flowering in July-September. Flowers are white, pink, or paly purple.",Asia,China,"Labiatae, Mentha","Vanilla plants, flowering period July-September","Leaf color green , flower color light purple, white, pink","Diameter â¥ 10 cm, height â¥ 10 cm",Peat or soil with specific nutrients,"Long-day plant, likes adequate sunshine, shade properly under summer noon strong light","Not resistant to drought, water thoroughly when soil is dry, water thoroughly when soil is dry, water every day in summer, every 2-3 days in other seasons","Need more fertilization, apply once every 10 days with nitrogen liquid fertilizers",Remove old diseased and dead leaves timely,6600,3600,60000,3000,32,8,80,30,60,15,2000,350
mentha arvensis,Mentha arvensis,mentha arvensis,http://pkb.resource.huahuacaocao.com/bWVudGhhIGFydmVuc2lzLmpwZw==?imageView2/1/w/%d/h/%d,"Mentha arvensis
Floriography: virtuous, peaceful, optimistic
Is a famous spice plant for cooking and medicine. Has oval leaves in dark green, also a strong fragrant scent, used for spice in cooking, tea, or medicine with effects of calming and refreshing. 
Is a long-day plant, likes sunshine, shade properly under summer strong sunlight, flowering in July-September. Flowers are white, pink, or paly purple.",Asia,China,"Labiatae, Mentha","Vanilla plants, flowering period July-September","Leaf color green , flower color light purple, white, pink","Diameter â¥ 10 cm, height â¥ 10 cm",Peat or soil with specific nutrients,"Long-day plant, likes adequate sunshine, shade properly under summer noon strong light","Not resistant to drought, water thoroughly when soil is dry, water thoroughly when soil is dry, water every day in summer, every 2-3 days in other seasons","Need more fertilization, apply once every 10 days with nitrogen liquid fertilizers",Remove old diseased and dead leaves timely,6600,3600,60000,3000,32,8,80,30,60,15,2000,350
mentha cervina,Mentha cervina,mentha cervina,http://pkb.resource.huahuacaocao.com/bWVudGhhIGNlcnZpbmEuanBn?imageView2/1/w/%d/h/%d,"Mentha cervina
Floriography: virtuous, peaceful, optimistic
Is a famous spice plant for cooking and medicine. Has oval leaves in dark green, also a strong fragrant scent, used for spice in cooking, tea, or medicine with effects of calming and refreshing. 
Is a long-day plant, likes sunshine, shade properly under summer strong sunlight, flowering in July-September. Flowers are white, pink, or paly purple.",Asia,China,"Labiatae, Mentha","Vanilla plants, flowering period July-September","Leaf color green , flower color light purple, white, pink","Diameter â¥ 10 cm, height â¥ 10 cm",Peat or soil with specific nutrients,"Long-day plant, likes adequate sunshine, shade properly under summer noon strong light","Not resistant to drought, water thoroughly when soil is dry, water thoroughly when soil is dry, water every day in summer, every 2-3 days in other seasons","Need more fertilization, apply once every 10 days with nitrogen liquid fertilizers",Remove old diseased and dead leaves timely,6600,3600,60000,3000,32,8,80,30,60,15,2000,350
mentha citrata,Mentha citrata,mentha citrata,http://pkb.resource.huahuacaocao.com/bWVudGhhIGNpdHJhdGEuanBn?imageView2/1/w/%d/h/%d,"Mentha citrata
Floriography: virtuous, peaceful, optimistic
Is a famous spice plant for cooking and medicine. Has oval leaves in dark green, also a strong fragrant scent, used for spice in cooking, tea, or medicine with effects of calming and refreshing. 
Is a long-day plant, likes sunshine, shade properly under summer strong sunlight, flowering in July-September. Flowers are white, pink, or paly purple.",Asia,China,"Labiatae, Mentha","Vanilla plants, flowering period July-September","Leaf color green , flower color light purple, white, pink","Diameter â¥ 10 cm, height â¥ 10 cm",Peat or soil with specific nutrients,"Long-day plant, likes adequate sunshine, shade properly under summer noon strong light","Not resistant to drought, water thoroughly when soil is dry, water thoroughly when soil is dry, water every day in summer, every 2-3 days in other seasons","Need more fertilization, apply once every 10 days with nitrogen liquid fertilizers",Remove old diseased and dead leaves timely,6600,3600,60000,3000,32,8,80,30,60,15,2000,350
mentha pulegium,Mentha pulegium,mentha pulegium,http://pkb.resource.huahuacaocao.com/bWVudGhhIHB1bGVnaXVtLmpwZw==?imageView2/1/w/%d/h/%d,"Mentha pulegium
Floriography: virtuous, peaceful, optimistic
Is a famous spice plant for cooking and medicine. Has oval leaves in dark green, also a strong fragrant scent, used for spice in cooking, tea, or medicine with effects of calming and refreshing. 
Is a long-day plant, likes sunshine, shade properly under summer strong sunlight, flowering in July-September. Flowers are white, pink, or paly purple.",Asia,China,"Labiatae, Mentha","Vanilla plants, flowering period July-September","Leaf color green , flower color light purple, white, pink","Diameter â¥ 10 cm, height â¥ 10 cm",Peat or soil with specific nutrients,"Long-day plant, likes adequate sunshine, shade properly under summer noon strong light","Not resistant to drought, water thoroughly when soil is dry, water thoroughly when soil is dry, water every day in summer, every 2-3 days in other seasons","Need more fertilization, apply once every 10 days with nitrogen liquid fertilizers",Remove old diseased and dead leaves timely,6600,3600,60000,3000,32,8,80,30,60,15,2000,350
